Input.num,Translation
0,"Professor Flitwick hatte Harry während des Zauberunterrichts an diesem Montag schweigend ein gefaltetes Pergament gereicht, und der Zettel hatte gesagt, dass Harry den Schulleiter nach Belieben besuchen sollte und auf eine Weise, die niemand sonst bemerken würde, besonders nicht Draco Malfoy oder Professor Quirrell."
0,Pfeifen. Tick. Bzzzt. Ding. Glorp. Pop. Platsch. Glockenspiel. Tuten. Puffen.
1,Kling. Blubber. Piep. Bumm. Knister. Wusch. Zisch. Pffft. Surr.
1,Klimpern. Blasen. Piepsen. Klopfen. Knistern. Zischen. Zischen. Pffft. Zischen.
3,"Sein einmal verwendbares Passwort für den Wasserspeier würde ,,zimperlicher Lammergeier"" lauten."
3,"Sein einmaliges Passwort für den Wasserspeier wäre ""squeamish ossifrage""."
8,"Der alte Zauberer erhob sich von seinem Thron und begann, langsam durch den Raum und seine seltsamen Gerätschaften zu schreiten."
8,"Der alte Zauberer erhob sich von seinem Thron und begann, langsam durch den Raum und die seltsamen Geräte zu gehen."
9,",,So, erstmal: hast du die Notizen von der gestrigen Begegnung mit Lucius Malfoy bei dir?"""
9,"""Erstens, haben Sie die Notizen von der gestrigen Begegnung mit Lucius Malfoy dabei?"""
11,"""Sicherlich hast du es aufgeschrieben ..."" sagte der alte Zauberer, und seine Stimme brach ab. "
11,"""Du hast es doch sicher aufgeschrieben..."", sagte der alte Zauberer, und seine Stimme verstummte."
14,"In Ordnung, dann eben auswendig, sagte der Schulleiter"
14,"""In Ordnung"", sagte der Schulleiter, ""dann aus dem Gedächtnis."""
20,"Und ich denke es wäre aeußerst klug, dass sie ab sofort jeglichen Kontakt with Lord Malfoy meiden"
20,"""Und ich denke, es wäre äußerst klug, wenn du von nun an jeden Kontakt mit Lord Malfoy vermeiden würdest."""
21,",,Hasst du von mir zu ihm entsandte Eulen abgefangen?"" sagte Harry."
21,"""Habt ihr Eulen von ihm für mich abgefangen?"", fragte Harry."
22,"Der Schulleiter blickte Harry für einen langen Moment an, eher er dann zögerlich nickte."
22,Der Schulleiter schaute Harry einen langen Moment lang an und nickte dann zögernd.
32,"Ich habe sie selbstverständlich nicht gelesen, sondern nur als nicht zugestellt zu ihren Absendern zurückgehen lassen."
32,"Ich habe sie natürlich nicht gelesen, sondern sie nur unzustellbar an den Absender zurückgeschickt."
35,Harry blickte auf seine Schuhe herab.
35,Harry schaute auf seine Schuhe.
37,"""Danke,"" murmelte Harry."
37,"""Danke"", murmelte Harry."
41,",,Sag mir, Harry, welch Böses könntest du vollbringen, wenn einem Dementoren der Zutritt zum Gelände von Hogwarts gewährt werden würde?"""
41,"""Sag mir, Harry, was könntest du Böses anrichten, wenn ein Dementor auf das Gelände von Hogwarts gelassen würde?"""
46,Das beeindruckte mich enorm.
46,Das hat mich sehr beeindruckt.
52,",,Naja"", sagte Harry, ,,es passt genau zum üblichen Verhalten von Professor Quirrell..."" driftete Harry ab."
52,"""Ich meine"", sagte Harry, ""das passt ganz gut zu dem, wie Professor Quirrell sich normalerweise verhält..."" Harry brach ab."
56,"Eine sehr vernünftige Ausrede, um sicher zu sein: mehr noch, dann können Sie erkennen."
56,"Das ist sicherlich eine sehr vernünftige Entschuldigung, mehr als Ihnen vielleicht bewusst ist."
59,Harry runzelte die Stirn. 
59,Harry runzelte die Stirn.
60,",,Dann verstehe ich wirklich nicht, warum du misstrauisch bist -"""
60,"""Dann verstehe ich wirklich nicht, warum du verdächtig bist -"""
62,",,Harry, der Verteidigungsprofessor bat mich, die dunkelsten aller Kreaturen durch die Tore von Hogwarts zu lassen."
