Input.num,Translation
0,"Professor Flitwick hatte Harry während des Zauberunterrichts an diesem Montag schweigend ein gefaltetes Pergament gereicht, und der Zettel hatte gesagt, dass Harry den Schulleiter nach Belieben besuchen sollte und auf eine Weise, die niemand sonst bemerken würde, besonders nicht Draco Malfoy oder Professor Quirrell."
1,Kling. Blubber. Piep. Bumm. Knister. Wusch. Zisch. Pffft. Surr.
3,"Sein einmal verwendbares Passwort für den Wasserspeier würde ,,zimperlicher Lammergeier"" lauten."
8,"Der alte Zauberer erhob sich von seinem Thron und begann, langsam durch den Raum und seine seltsamen Gerätschaften zu schreiten."
9,",,So, erstmal: hast du die Notizen von der gestrigen Begegnung mit Lucius Malfoy bei dir?"""
14,"In Ordnung, dann eben auswendig, sagte der Schulleiter"
20,"Und ich denke es wäre aeußerst klug, dass sie ab sofort jeglichen Kontakt with Lord Malfoy meiden"
21,",,Hasst du von mir zu ihm entsandte Eulen abgefangen?"" sagte Harry."
22,"Der Schulleiter blickte Harry für einen langen Moment an, eher er dann zögerlich nickte."
32,"Ich habe sie selbstverständlich nicht gelesen, sondern nur als nicht zugestellt zu ihren Absendern zurückgehen lassen."
35,Harry blickte auf seine Schuhe herab.
37,"""Danke,"" murmelte Harry."
41,",,Sag mir, Harry, welch Böses könntest du vollbringen, wenn einem Dementoren der Zutritt zum Gelände von Hogwarts gewährt werden würde?"""
46,Das beeindruckte mich enorm.
52,",,Naja"", sagte Harry, ,,es passt genau zum üblichen Verhalten von Professor Quirrell..."" driftete Harry ab."
56,"Eine sehr vernünftige Ausrede, um sicher zu sein: mehr noch, dann können Sie erkennen."
60,",,Dann verstehe ich wirklich nicht, warum du misstrauisch bist -"""
62,",,Harry, der Verteidigungsprofessor bat mich, die dunkelsten aller Kreaturen durch die Tore von Hogwarts zu lassen."
68,Harry starrte den Schulleiter mit offenem Mund an.
69,"Er war so schockiert, dass er sich nicht mal geschmeichelt fühlen konnte."
70,",,Ich??"" sagte Harry."
72,""" Ich gebe mein Bestes meine Feind zu antizipieren um ihre bösen Geister und üblen Gedanken zu umfassen."
74,Würde Harry das je hinter sich lassen können?
87,"""Schulleiter"", sagte Harry, ""wenn Professor Quirrell etwas vorhat, bin ich mir nicht sicher, ob ich ihn überlisten kann."""
90,",,Du unterschätzt dich selbst."""
91,"Das war das erste Mal, dass jemand diese Worte zu Harry gesagt hatte."
96,Wie viel weiß er...?
97,"Der Schulleiter hatte Harry in den Fängen seiner mysteriösen, dunklen Seite gesehen; so tief wie Harry jemals in ihr versunken war."
100,"Und Dumbledore hatte geschlussfolgert, dass sein zahmer kleiner Held eine gerissene Herausforderungen für seinen schicksalhaften Gegener, den Dunklen Lord, sei."
102,"Genug Gerissenheit aufzubringen, um Professor Quirrel ebenbürtig zu sein, stellt eine ganz andere Art der Probleme dar."
106,Dumbledores Augenbrauen erhoben sich für einen Moment und dann fing der alte Zauberer an zu sprechen.
108,"Dumbledore würde sie am Rende des Geländes treffen und wird derjenige sein, der die Dementoren durch die Bereiche von Hogwarts streifen lassen würde -"
112,Dumbledore würde mit seinem Patronus am Käfig des Dementoren warten.
115,„Warum warten nur Sie neben dem Dementor?“ fragte Harry.
116,",,Ich mein, sollten da nicht du und noch ein Auror sein -"""
118,",,So konnten der wiederholten Dementorenaussetzung nicht standhalten und ich entsende jedes Mal meinen Patronus."""
120,"Wie Harry es auch betrachte und durchstorcherte, er konnte keine Fehler in der sicheren Ausführung sehen."
121,"Und so nahm Harry einen tiefen Atemzug, sank weiter in seinen Stuhl, schloss die Augen und erinnerte sich:"
124,"Die Kälte kam nun langsamer, viel zögerlicher; Harry hatte seine dunkle Seite in letzter Zeit nicht herbeigeschworen..."
126,Und dann dachte er an den Dementoren.
129,"Die Kälte in seiner Stimme war deutlich, denn das war es, was Dumbledore wollte und erwartete."
130,"""Eine große, auffallende Bedrohung, letzten Endes aber überschaubar und leicht zu beherrschen."
132,Dumbledore starrte Harry einen Moment lang an und nickte dann langsam.
139,In seiner Stimme klang ein merkbarer Schmerz mit.
140,Warum würde sich jemand bewusst zu einem Monster machen?
141,Warum Böses tun um des Bösen willen?
146,",,Sollte ich den Dunklen Lord auf irgendeine magische Art verstehen können weil ich hier der Held bin, oder so?"""
151,"Und ihn, ihn besiegte ich am Ende."
157,Warum hat er es getan?
158,"Er war noch nie mein bestimmter Feind, aber deiner, wenn du überhaupt eine Ahnung hast, Harry, sag es mir! Warum??"""
159,Harry starrte auf seine Hände herab.
162,",,Vielleicht zu viele dunkle Rituale?"""
168,Der Dunkle Lord erscheint mir nicht so sehr wie ein dunkler Spiegel; so gar nicht.
170,",,Hast du keine Weisheit zu teilen?"" sagte Dumbledore."
171,Da war fast Bitten inder Stimme des altens Zauberers.
172,"Böses geschieht einfach, dachte Harry, es bedeutet nichts und lehrt uns nichts, außer, dass wir selbst nicht böse werden sollen."
174,"hinter den Übeln dieser Welt gibt es kein Schicksal; wäre Hitler wie gewünscht in die Architekturschule aufgenommen worden, die ganze Geschichte Europas wäre anders verlaufen; Wenn wir in einem Universum leben würden, in dem schreckliche Dinge nur aus guten Gründen passieren dürften, würden sie einfach nicht passieren."
175,"Und offensichtlich war nichts davon das, was der Schulleiter hören wollte."
177,"Nun, es war nicht schwer, weise zu klingen."
180,",,Schulleiter"", sagte Harry würdevoll, ,,lieber lasse ich mich nicht durch meine Feinde definieren."""
189,"„Du verurteilst mein Haus zu einem schrecklichen Schicksal, Harry“, sagte der Schulleiter."
195,",,Ich hätte merken müssen, dass es ein Slytherinschlüssel sein würde."
197,",,Und du, Harry"", sagte der Schulleiter, ,,du nennst dich einen Wissenschaftler??"""
200,"Er hatte gehofft, dass Dumbledore für Muggeldinge mehr übrig hätte."
202,",,Aber es scheint seltsam, sich von dieser Sache so definieren zu lassen."
207,"Ist es Wissenschaft, die macht, dass dir etwas an Hermine Granger liegt?"
208,"Willst du dich zur Wissenschaft wenden, wenn du versuchst, Wärme in Draco Malfoys Herz zu entfachen?"
209,"Weißt du, das traurige ist, dass du wahrscheinlich denkst, du hättest ein unglaublich weises Totschlagargument hervorgebracht."
210,"Nun, wie formuliere ich meine Antwort so, dass sie auch unglaublich weise klingt"
212,Der Schulleiter erhob seine Augenbrauen.
215,"Der alte Magier klang traurig, als er das sagte."
223,"Und das nächste Mal, wenn du mich um Rat fragst, gebe ich dir einfach nur eine Umarmung -"
224,"„Heute hast Du mir viel geholfen, Harry,“ sagte der Schulleiter."
225,",,Und deshalb ist da noch eine letzte Sache, die ich diesen jungen Mann gern fragen würde."""
226,Großartig.
228,"""Äh,"" sagte Harry, ""Entschuldige, ich musste den Dunklen Zauberer unterstützen."""
231,"""Der Tod ist schlecht"", sagte Harry und verwies Weisheit für eine klare Kommunikation"
235,"Der Schulleiter starrte ihn an, als ob er sich gerade in eine Katze verwandelt hätte"
245,Sie fürchten den Tod.
251,Morgen möchte ich immer noch einen weiteren Tag leben.
259,",,Ich habe so einige Dinge gesehen und getan und von zu vielen Wünsche ich, sie niemals gesehen oder getan zu haben."
261,"Aber ich wünsche mir nicht, so lange zu leben, dass es das irgendwann tut."
263,Harry nahm einen tiefen Atemzug.
270,Dumbledore seufzte.
273,Aber zweihundert Jahre wären doch zuviel des Guten.
280,"""Oh!"" sagte Harry in plötzlicher Erkenntnis."
283,Tüt. Biep. Rums.
290,Das ist eine der alberndsten Ideen die ich in hundertundzehn Jahren gehört habe!
296,"Aber als erstes, Schulleiter, lass mich dir eine kleine Geschichte erzählen."""
299,Ich habe keine Gespenster erwartet.
300,"Und als ich sie sah, Schulleiter, da tat ich etwas wirklich dummes."
302,"Ich, ich dachte es gibt ein leben nach dem tod, ich dachte niemand wäre jemals wirklich gestorben, ich dachte dass es jedem den die menschliche spezies jemals verloren hat wirklich gut geht, ich dachte zauberer könnten mit leuten sprechen die gestorben sind, dass es nur den richtigen zauber brauchte um sie zu beschwören, dass zauberer das tun könnten, ich dachte ich könnte meine eltern treffen die für mich gestorben sind, und sag ihnen dass ich von ihrem opfer gehört habe und dass ich angefangen hatte sie meine mutter und meinen vater zu nennen -"""
303,"„Harry,“ flüsterte Dumbledore."
308,Ich hätte es wissen sollen ohne fragen zu müssen!
312,"Und ich hatte schon wahrgenommen, dass die Leute sich in der Zaubererwelt nicht so verhalten!"
